Entity,Year,CO2 emissions - Region: global,CO2 emissions - Region: global (Annotations)
SSP1 - 1.9,2005,33166074220,Sustainability - Taking the Green Road
SSP1 - 1.9,2010,35488828780,Sustainability - Taking the Green Road
SSP1 - 1.9,2020,33208799480,Sustainability - Taking the Green Road
SSP1 - 1.9,2030,17967968260,Sustainability - Taking the Green Road
SSP1 - 1.9,2040,6413946208,Sustainability - Taking the Green Road
SSP1 - 1.9,2050,968036255,Sustainability - Taking the Green Road
SSP1 - 1.9,2060,-1649998545,Sustainability - Taking the Green Road
SSP1 - 1.9,2070,-4136923829,Sustainability - Taking the Green Road
SSP1 - 1.9,2080,-7370205445,Sustainability - Taking the Green Road
SSP1 - 1.9,2090,-10567707520,Sustainability - Taking the Green Road
SSP1 - 1.9,2100,-14340424640,Sustainability - Taking the Green Road
SSP1 - 2.6,2005,33166074220,Sustainability - Taking the Green Road
SSP1 - 2.6,2010,35488821620,Sustainability - Taking the Green Road
SSP1 - 2.6,2020,38389781580,Sustainability - Taking the Green Road
SSP1 - 2.6,2030,33930925130,Sustainability - Taking the Green Road
SSP1 - 2.6,2040,25904736820,Sustainability - Taking the Green Road
SSP1 - 2.6,2050,17732934570,Sustainability - Taking the Green Road
SSP1 - 2.6,2060,10565807940,Sustainability - Taking the Green Road
SSP1 - 2.6,2070,4785242147,Sustainability - Taking the Green Road
SSP1 - 2.6,2080,-2921840088,Sustainability - Taking the Green Road
SSP1 - 2.6,2090,-8098321208,Sustainability - Taking the Green Road
SSP1 - 2.6,2100,-8347350179,Sustainability - Taking the Green Road
SSP1 - 3.4,2005,33166074220,Sustainability - Taking the Green Road
SSP1 - 3.4,2010,35488818040,Sustainability - Taking the Green Road
SSP1 - 3.4,2020,39638793620,Sustainability - Taking the Green Road
SSP1 - 3.4,2030,39351400720,Sustainability - Taking the Green Road
SSP1 - 3.4,2040,37443119140,Sustainability - Taking the Green Road
SSP1 - 3.4,2050,32947266600,Sustainability - Taking the Green Road
SSP1 - 3.4,2060,27955583340,Sustainability - Taking the Green Road
SSP1 - 3.4,2070,19813280930,Sustainability - Taking the Green Road
SSP1 - 3.4,2080,9123370281,Sustainability - Taking the Green Road
SSP1 - 3.4,2090,-2275437907,Sustainability - Taking the Green Road
SSP1 - 3.4,2100,-6615458456,Sustainability - Taking the Green Road
